"UID","participant","input_model","fitted_model","nLL","lambda","beta","tau","recency","surprise_plus","full_r","full_s","asymmetry","id","age_bin","education"
228,165,"NoMemory","surprise+",82.4444428199523,-1.00716974944966,-0.627110317500752,-6.25974831549909,NA,-292.117843284924,NA,NA,-0.691266847633891,165,"38-47","Graduate degree (MA/MSc/MPhil/other)"
228,165,"NoMemory","surprise+",69.5456020057169,-1.07838931016522,-0.278488607056829,-6.72727237913121,NA,-754.068098557398,NA,NA,-0.691266847633891,165,"38-47","Graduate degree (MA/MSc/MPhil/other)"
229,166,"Memory","full",89.1835173278204,0.725151875118409,-5.51686699718393,-3.28308814910874,NA,NA,242.668956991578,-4.99551993636589,2.75533335956551,166,"38-47","Graduate degree (MA/MSc/MPhil/other)"
229,166,"Memory","full",68.5942343220158,0.655926563619538,-7.78747592162452,-3.35710944758111,NA,NA,349.323270201988,-11.8632795978988,2.75533335956551,166,"38-47","Graduate degree (MA/MSc/MPhil/other)"
229,166,"Memory","full",55.6553374273997,0.836982004895062,-7.9151345975697,-3.34322985172702,NA,NA,303.192157280051,-5.75445050496564,2.75533335956551,166,"38-47","Graduate degree (MA/MSc/MPhil/other)"
229,166,"Memory","full",61.1292488226655,0.856026976197276,-8.28853555489331,-3.28388458432888,NA,NA,314.772573129363,-8.5487504116218,2.75533335956551,166,"38-47","Graduate degree (MA/MSc/MPhil/other)"
229,166,"Memory","recency",99.3262266219418,0.914781722920547,-9.79303415867488,-3.62718997746994,223.509994428326,NA,NA,NA,NA,166,"38-47","Graduate degree (MA/MSc/MPhil/other)"
229,166,"Memory","full",69.7895228360974,0.961719240343676,-4.4315548877365,-3.81239764348969,NA,NA,331.432065730132,-6.25273916160729,2.75533335956551,166,"38-47","Graduate degree (MA/MSc/MPhil/other)"
229,166,"Memory","null",64.0060948359591,0.395027932949985,-8.40972248957839,-2.55743130647046,NA,NA,NA,NA,NA,166,"38-47","Graduate degree (MA/MSc/MPhil/other)"
229,166,"Memory","full",83.4053115956738,0.606733795324332,-5.23233188967076,-3.19691788641006,NA,NA,314.515790350718,-10.5008689074638,2.75533335956551,166,"38-47","Graduate degree (MA/MSc/MPhil/other)"
229,166,"Memory","surprise+",66.2201647323912,-0.18772786498394,-1.51199142279246,-3.14135517695581,NA,-217.323716729879,NA,NA,-0.219522304974403,166,"38-47","Graduate degree (MA/MSc/MPhil/other)"
229,166,"Memory","recency",79.0190606165022,0.887078115891557,-9.7990499874193,-3.55616059551723,223.050292335707,NA,NA,NA,NA,166,"38-47","Graduate degree (MA/MSc/MPhil/other)"
229,166,"Memory","recency",56.3304309012556,0.938807079969153,-9.95883597233749,-3.54928616687128,222.470420756149,NA,NA,NA,NA,166,"38-47","Graduate degree (MA/MSc/MPhil/other)"
229,166,"Memory","recency",65.9768951881985,0.981270874457728,-9.91050489872899,-3.73942204871289,240.264807928402,NA,NA,NA,NA,166,"38-47","Graduate degree (MA/MSc/MPhil/other)"
229,166,"Memory","recency",68.0352862441693,0.912139662862585,-9.09722094019338,-3.67027423348383,233.198979617231,NA,NA,NA,NA,166,"38-47","Graduate degree (MA/MSc/MPhil/other)"
229,166,"Memory","recency",61.5440312271329,0.91828983742387,-9.92204597864568,-3.56533377928869,227.703786979315,NA,NA,NA,NA,166,"38-47","Graduate degree (MA/MSc/MPhil/other)"
229,166,"Memory","recency",85.5830480456991,0.865048179342114,-9.97738359454918,-3.51508569429757,222.884556743501,NA,NA,NA,NA,166,"38-47","Graduate degree (MA/MSc/MPhil/other)"
229,166,"Memory","null",123.242889369138,0.455213623789014,-7.22935039976561,-2.60763095494655,NA,NA,NA,NA,NA,166,"38-47","Graduate degree (MA/MSc/MPhil/other)"
229,166,"Memory","null",64.0078564719052,0.382266235965494,-9.13972193575289,-2.51020397637259,NA,NA,NA,NA,NA,166,"38-47","Graduate degree (MA/MSc/MPhil/other)"
229,166,"Memory","null",66.6742716928702,0.386839431801885,-8.17130231057585,-2.50242267046362,NA,NA,NA,NA,NA,166,"38-47","Graduate degree (MA/MSc/MPhil/other)"
229,166,"Memory","full",101.34356933685,0.908748086257597,-7.42961659557899,-3.61691260375811,NA,NA,318.438357243477,-8.22414859863132,2.75533335956551,166,"38-47","Graduate degree (MA/MSc/MPhil/other)"
229,166,"Memory","surprise+",63.2178147325311,0.441556045547198,-9.9949167522399,-2.54399517010308,NA,-0.391998852840963,NA,NA,-0.219522304974403,166,"38-47","Graduate degree (MA/MSc/MPhil/other)"
229,166,"Memory","surprise+",64.1889227169208,0.433654582084986,-7.60793888256508,-2.58781056853881,NA,-2.0705888937108,NA,NA,-0.219522304974403,166,"38-47","Graduate degree (MA/MSc/MPhil/other)"
229,166,"Memory","surprise+",73.6045694870681,0.422585895911096,-9.69873542506964,-2.51253874045218,NA,-3.10259356262475,NA,NA,-0.219522304974403,166,"38-47","Graduate degree (MA/MSc/MPhil/other)"
229,166,"Memory","surprise+",94.285889532283,0.871059578988105,-4.80195047182963,-2.86928471626305,NA,16.0708473956478,NA,NA,-0.219522304974403,166,"38-47","Graduate degree (MA/MSc/MPhil/other)"
229,166,"Memory","null",74.30619971755,0.379261321317159,-9.76667930150781,-2.49424507951269,NA,NA,NA,NA,NA,166,"38-47","Graduate degree (MA/MSc/MPhil/other)"
229,166,"Memory","null",104.629637632721,0.379597529608504,-5.44543013140726,-2.59775869668323,NA,NA,NA,NA,NA,166,"38-47","Graduate degree (MA/MSc/MPhil/other)"
229,166,"Memory","null",98.9400993451881,0.407293041274601,-8.30897835675887,-2.55853221886638,NA,NA,NA,NA,NA,166,"38-47","Graduate degree (MA/MSc/MPhil/other)"
229,166,"Memory","surprise+",107.035875966352,-0.103031741445187,-1.49261120083176,-3.29032645467765,NA,-259.661850998876,NA,NA,-0.219522304974403,166,"38-47","Graduate degree (MA/MSc/MPhil/other)"
229,166,"Memory","surprise+",118.992737134734,0.500697530065618,-5.11592232249198,-2.66319971477829,NA,10.2331852758005,NA,NA,-0.219522304974403,166,"38-47","Graduate degree (MA/MSc/MPhil/other)"
230,167,"NoMemory","null",117.313936138859,0.515791320976285,-1.49050411186533,-3.32392798555198,NA,NA,NA,NA,NA,167,"18-27","Graduate degree (MA/MSc/MPhil/other)"
230,167,"NoMemory","null",57.6888330725547,0.475096905414394,-1.45762501952689,-3.21680345803047,NA,NA,NA,NA,NA,167,"18-27","Graduate degree (MA/MSc/MPhil/other)"
230,167,"NoMemory","null",90.8164637040382,0.539696372693351,-1.31948390608649,-3.18544602967637,NA,NA,NA,NA,NA,167,"18-27","Graduate degree (MA/MSc/MPhil/other)"
230,167,"NoMemory","full",58.9622285786161,0.510079278950205,-1.51458277411642,-3.25345056633909,NA,NA,-353.190631276951,-366.192978491725,3.06270260841454,167,"18-27","Graduate degree (MA/MSc/MPhil/other)"
230,167,"NoMemory","full",36.4400325695733,0.61732788140885,-1.58251127106896,-3.07073235122323,NA,NA,37.1252065524459,-929.291434265692,3.06270260841454,167,"18-27","Graduate degree (MA/MSc/MPhil/other)"
230,167,"NoMemory","recency",103.312545128961,0.58510047346513,-1.61292537291127,-3.11376429447959,-81.1666421518149,NA,NA,NA,NA,167,"18-27","Graduate degree (MA/MSc/MPhil/other)"
230,167,"NoMemory","recency",23.6026958185651,0.549080627235459,-1.48153440482022,-3.03048153129682,-3.01581367109825,NA,NA,NA,NA,167,"18-27","Graduate degree (MA/MSc/MPhil/other)"
230,167,"NoMemory","null",69.5510638065664,0.538388125487097,-1.50431434856356,-3.16230699773601,NA,NA,NA,NA,NA,167,"18-27","Graduate degree (MA/MSc/MPhil/other)"
230,167,"NoMemory","null",23.4674789516168,0.550627998561399,-1.48787211703721,-3.03724061260078,NA,NA,NA,NA,NA,167,"18-27","Graduate degree (MA/MSc/MPhil/other)"
230,167,"NoMemory","full",89.0640264118658,0.592678587928596,-1.4262830279467,-3.28833673201312,NA,NA,-923.450114287495,-601.513476008904,3.06270260841454,167,"18-27","Graduate degree (MA/MSc/MPhil/other)"
230,167,"NoMemory","recency",90.6733594716568,0.531832796873576,-1.3213178098153,-3.19266572347728,-5.49681705419722,NA,NA,NA,NA,167,"18-27","Graduate degree (MA/MSc/MPhil/other)"
230,167,"NoMemory","full",120.201075635901,0.47889313591352,-1.42984977634,-3.50524345926098,NA,NA,148.701300472611,-761.764664104744,3.06270260841454,167,"18-27","Graduate degree (MA/MSc/MPhil/other)"
230,167,"NoMemory","full",103.146375104954,0.586822031310512,-1.58699312026169,-3.13244219467565,NA,NA,-150.172221613428,-66.600662683765,3.06270260841454,167,"18-27","Graduate degree (MA/MSc/MPhil/other)"
230,167,"NoMemory","full",22.2631912187274,0.547271604701197,-1.53214886754514,-3.05192595812076,NA,NA,25.3457331782057,-779.076174318868,3.06270260841454,167,"18-27","Graduate degree (MA/MSc/MPhil/other)"
230,167,"NoMemory","recency",69.5107872036731,0.535492797665568,-1.49928540360241,-3.16324340284985,-7.29453905342102,NA,NA,NA,NA,167,"18-27","Graduate degree (MA/MSc/MPhil/other)"
230,167,"NoMemory","recency",33.8362073818104,0.536147861673566,-1.5019807055902,-3.08004278944309,-6.98677263020483,NA,NA,NA,NA,167,"18-27","Graduate degree (MA/MSc/MPhil/other)"
230,167,"NoMemory","null",33.7818258541717,0.535157795422038,-1.50488193854735,-3.08380413236699,NA,NA,NA,NA,NA,167,"18-27","Graduate degree (MA/MSc/MPhil/other)"
230,167,"NoMemory","null",103.416352572313,0.587605621393485,-1.6028288318593,-3.12565937189589,NA,NA,NA,NA,NA,167,"18-27","Graduate degree (MA/MSc/MPhil/other)"
230,167,"NoMemory","recency",57.761463379201,0.474107539838287,-1.45763341983403,-3.21704097986345,-6.55444084451616,NA,NA,NA,NA,167,"18-27","Graduate degree (MA/MSc/MPhil/other)"
230,167,"NoMemory","full",72.3039121229584,0.546260466115208,-1.51942535717949,-3.32256797569417,NA,NA,-78.9708465803905,-571.01336423355,3.06270260841454,167,"18-27","Graduate degree (MA/MSc/MPhil/other)"
