"input_model","fitted_model","participant","nLL","lambda","beta","tau","recency","surprise_plus","asymmetry"
"recency","recency",3,119.990803507966,0.398449184088569,-14.1967972797166,-0.606418271810239,-5.74642735470186,NA,NA
"recency","recency",3,119.112703787923,0.407843655037424,-9.97538056669394,-0.43112636380412,-243.083659142101,NA,NA
"recency","recency",3,119.084688407644,0.914422099192964,-25.1355765970584,-0.102405633555964,-807.489290700378,NA,NA
"recency","recency",4,119.73238208328,4.56830776170415,0.179944426171533,-1.89113157038113,864.9634717191,NA,NA
"recency","recency",4,119.369359767161,4.21067059016961,-0.0132610872965824,-1.79454698050133,559.892574252534,NA,NA
"recency","recency",4,119.902122369468,5.70706172018189,1.12644520807855,-2.46567754299052,834.892699484671,NA,NA
"recency","recency",4,119.453206221738,4.99836037960846,6.01965805065852,3.44785858042492,93.033195938915,NA,NA
"recency","recency",4,119.203316193699,6.02060102054984,1.35390040942644,-2.30908172057213,888.510302174836,NA,NA
"recency","recency",4,120.523568778987,4.93773979958565,4.35662290812609,1.58507740746849,93.6779670479554,NA,NA
"recency","recency",4,119.218062758089,5.65633247698319,1.36218188380719,-2.10059351914717,961.186883039773,NA,NA
"recency","recency",5,0.029982014387056,-4.13134472057269,-22.2855421526157,-9.99999978536296,868.925413547044,NA,NA
"recency","recency",5,0.029982014387056,-4.18855123060943,-22.3078412390953,-9.99999988840459,907.048741918725,NA,NA
"recency","recency",5,70.8440189593997,-9.82560785021633,-22.3637857398541,-9.99999980944344,915.198588637863,NA,NA
"recency","recency",5,0.029982014387056,-4.38508152390745,-22.0866745755929,-9.99999994828262,993.449955957001,NA,NA
"recency","recency",5,66.4387255387588,-4.49769741764168,-22.3778500907576,-9.99999997733224,872.777576403996,NA,NA
"recency","recency",5,0.029982014387056,-2.07330357487447,-22.3771586844515,-9.99999953802246,889.10867502972,NA,NA
"recency","recency",5,69.6698723206084,-3.59720226045614,-23.2600791088127,-9.999999883745,911.808576556647,NA,NA
"recency","recency",6,120.025918906429,-1.25128831411854,-0.628662990053111,-6.84315852325409,337.827370658253,NA,NA
"recency","recency",6,119.554266099494,-9.0794321801706,-0.634028013546017,-3.22839938439888,238.0709430314,NA,NA
"recency","recency",6,125.844202861221,2.38133245535833,6.96549568365874,-5.54883643366242,73.6754430290168,NA,NA
"recency","recency",6,119.408268848686,-1.30137089802597,-0.651862723232167,-6.10135405659368,318.312858013542,NA,NA
"recency","recency",6,119.299381968582,2.5023707753099,6.44118036614706,-4.60180154030739,211.103720349473,NA,NA
"recency","recency",6,119.648930041217,-1.87561580517679,-0.623521702709033,-5.17182460582739,292.180484375629,NA,NA
"recency","recency",6,119.801795044227,-1.30953928820336,-0.546324547656648,-7.62080312043217,350.84318499746,NA,NA
"recency","recency",7,120.087867359054,1.79604472399551,-1.35042169764248,-1.17451195915989,825.628489296056,NA,NA
"recency","recency",7,120.145594457298,6.02444887281786,2.46756706855997,-1.18206412882311,919.44906056299,NA,NA
"recency","recency",7,122.379574468636,2.23509232841198,-1.01638527655765,-1.57934553842456,874.224107499607,NA,NA
"recency","recency",7,120.561477263862,3.87454551028481,5.92663633153699,3.05534187531951,-2.3913860620834,NA,NA
"recency","recency",7,120.000097262322,2.254503194727,-0.724419008381665,-0.706569668378632,949.521663919176,NA,NA
"recency","recency",7,119.778204090204,1.93985613093165,-1.51149979124435,-1.28035194820445,943.709963760255,NA,NA
"recency","recency",7,119.411781909616,6.57198688899624,2.69851542106807,-1.42096436349438,973.673540167511,NA,NA
"recency","recency",8,66.4386302196688,-2.16054683781174,-26.1454429557607,-9.99999997131422,703.298252732267,NA,NA
"recency","recency",8,66.4386353102906,-2.51981661036885,-24.8849281475177,-9.99999998353872,727.71641370486,NA,NA
"recency","recency",8,70.0933534213331,-7.31821061196158,-46.9017585664062,-9.99999999913505,229.672788615157,NA,NA
"recency","recency",8,66.4386295960074,-5.16339285626416,-26.0542177890548,-9.99999998771336,477.136776753871,NA,NA
"recency","recency",8,0.029982014387056,-6.76404478381953,-26.2407663506801,-9.99999999804798,511.29586441107,NA,NA
"recency","recency",8,66.4386347763465,-3.90705399750832,-25.8403829184164,-9.99999989808271,609.634246726944,NA,NA
"recency","recency",8,0.029982014387056,-7.74010657763205,-26.2404794394951,-9.99999987424333,670.182775349243,NA,NA
"recency","recency",9,122.963682524906,-0.00990132204003669,4.09928452537327,-0.0545316803951786,458.417632544227,NA,NA
"recency","recency",9,119.544183397489,0.913332446682632,4.90573325031902,-7.05292442953492,213.082949869025,NA,NA
"recency","recency",9,119.53624497879,3.32374150088088,7.88380459007861,-6.97033073378105,87.388664515891,NA,NA
"recency","recency",9,119.498286930425,4.29305678772842,8.3067996768558,-1.27016988214175,70.0065453914047,NA,NA
"recency","recency",9,119.552840073585,3.68162708222136,7.74321845326439,-6.12080992786211,137.144654111641,NA,NA
"recency","recency",9,139.466719465583,0.963092942156234,4.96972219804313,-7.37577442079782,162.945627696805,NA,NA
"recency","recency",9,120.092172038092,-0.485109235285268,3.9358219120425,-0.148269223638389,315.822729361546,NA,NA
"recency","recency",10,119.91761932139,1.87828322548288,7.10497158908286,4.41646046677698,-405.421728826524,NA,NA
"recency","recency",10,119.442348133395,-0.881302077323198,4.12611943309542,3.76175147977614,69.1063972665076,NA,NA
"recency","recency",10,126.469699764301,1.64112795660243,9.87238038063049,-8.2708062590613,-687.864781669705,NA,NA
"recency","recency",10,122.067103109269,3.7256007209451,-2.20426030825728,-3.78583082629295,393.235898883787,NA,NA
"recency","recency",10,120.660254482571,1.60541084927257,6.02613753241498,4.42529588926855,-798.924459585997,NA,NA
"recency","recency",10,132.589542572936,-0.408590314935351,4.01246548163855,-6.81651628102521,87.28704865469,NA,NA
"recency","recency",10,120.041039330258,1.86192616528444,7.2064145340582,4.57345442497211,-434.056864848396,NA,NA
"recency","recency",11,124.03383012484,0.333011786924087,-0.603922922148558,-1.5892129308272,921.24948727307,NA,NA
"recency","recency",11,119.569929491154,1.44659301547865,5.42352731278756,-6.17082670336461,242.438890754787,NA,NA
"recency","recency",11,126.244586796056,2.51294131550361,7.68744707219576,-9.86971283265803,45.0701015070081,NA,NA
"recency","recency",11,119.56943156235,1.26101076067414,5.56070436531972,-5.36402526358442,149.984008555713,NA,NA
"recency","recency",11,119.588590630643,-0.601244564848484,3.21296242532665,1.20081815982461,838.088201001988,NA,NA
"recency","recency",11,119.611770315837,1.71858913162496,6.03526131082956,-5.43055332832811,143.295930973305,NA,NA
"recency","recency",11,119.995565206297,-0.177012890510285,3.38906448155539,1.94957834275742,843.912533273622,NA,NA
"recency","recency",12,66.4386265816321,-4.72694387425623,-48.6930582966933,-9.99999999818761,502.167468730197,NA,NA
"recency","recency",12,66.4386265556287,-4.99911983955703,-43.2530280639772,-9.99999999869544,206.699437210738,NA,NA
"recency","recency",12,0.029982014387056,-9.15659397163493,-46.858865274714,-9.99999999849897,-138.416984707228,NA,NA
"recency","recency",12,0.029982014387056,-2.27175421630228,-46.8896007155672,-9.99999999696489,287.109967265775,NA,NA
"recency","recency",12,0.029982014387056,-7.90035214009872,-48.8508216899359,-9.99999999946433,-311.687401762535,NA,NA
"recency","recency",12,66.4386267490743,-2.74589044856204,-44.8693457147842,-9.99999999491757,180.994176184025,NA,NA
"recency","recency",12,0.029982014387056,-8.31358426640314,-40.2815554751136,-9.99999999815993,921.595284879734,NA,NA
"recency","recency",13,119.687268959374,-6.4973797920455,3.91157090212178,-9.99999349198788,937.899412349989,NA,NA
"recency","recency",13,119.674254249137,-1.54750842508907,3.63617062089102,-9.71201311571093,929.939431242015,NA,NA
"recency","recency",13,121.833005868472,4.49325489523838,-3.34209276133335,-5.85767622105777,398.656352539801,NA,NA
"recency","recency",13,120.064331764119,0.486068805170535,0.396394346880918,-0.330865339376032,947.485583913299,NA,NA
"recency","recency",13,120.663368409788,-2.38197841779523,-0.671744406959901,-6.37582827757865,360.724697596455,NA,NA
"recency","recency",13,119.858373277719,-1.46312741267938,3.52439836289096,-8.68730276856045,557.21500777541,NA,NA
"recency","recency",13,120.775938935492,0.251697467132713,-0.635959674198475,-1.14315434880036,832.362305516747,NA,NA
"recency","recency",14,116.628616933751,1.11933565683877,4.35807799101146,-1.51358200783221,238.603019411232,NA,NA
"recency","recency",14,117.461635355059,0.837205346548848,4.18785806250328,-8.19761844817549,242.531569666176,NA,NA
"recency","recency",14,117.371595459027,0.561830682976552,4.04822449356294,-4.59071256523394,774.117168920401,NA,NA
"recency","recency",14,117.796008195153,0.287416391222996,3.9298880577369,-0.238838476258766,351.894847051646,NA,NA
